Unnamed: 0,Name,Opening,Closing,Volume,Date,Opening_Price,Closing_Price,Volume_Traded
5.0,Afdis Distillers Limited,390.95,390.95,0.0,07-16-2022,,,
7.0,African Sun Limited,13.0,13.0,3600.0,07-16-2022,,,
9.0,Amalgamated Regional Trading (Art) Holdings Limited,18.0,18.0,0.0,07-16-2022,,,
12.0,Ariston Holdings Limited,2.3925,2.3998,4900.0,07-16-2022,,,
14.0,Axia Corporation Limited,80.0,71.3791,85200.0,07-16-2022,,,
16.0,Bridgefort Capital Limited,19.9988,19.9988,0.0,07-16-2022,,,
18.0,Bridgefort Capital Limited Class B,26.0,26.0,0.0,07-16-2022,,,
20.0,British American Tobacco Zimbabwe Limited,2380.0,2380.0,0.0,07-16-2022,,,
23.0,Cafca Limited,260.0,260.0,0.0,07-16-2022,,,
25.0,Cbz Holdings Limited,135.0,132.0,800.0,07-16-2022,,,
27.0,Cfi Holdings Limited,370.0,370.0,0.0,07-16-2022,,,
29.0,Dairibord Holdings Limited,25.05,25.05,0.0,07-16-2022,,,
31.0,Delta Corporation Limited,281.5926,279.7922,99000.0,07-16-2022,,,
33.0,Ecocash Holdings Zimbabwe Limited,50.965,52.2401,1145500.0,07-16-2022,,,
35.0,Econet Wireless Zimbabwe Limited,119.0423,121.9995,1469000.0,07-16-2022,,,
37.0,Edgars Stores Limited,5.9273,6.0,100.0,07-16-2022,,,
39.0,Fbc Holdings Limited,65.0,65.0,0.0,07-16-2022,,,
41.0,Fidelity Life Assurance Limited,22.0,22.0,0.0,07-16-2022,,,
43.0,First Capital Bank Limited,9.8111,9.9868,13600.0,07-16-2022,,,
45.0,First Mutual Holdings Limited,17.5455,17.125,800.0,07-16-2022,,,
47.0,First Mutual Properties Limited,7.4694,8.5068,117200.0,07-16-2022,,,
49.0,General Beltings Holdings Limited,1.4,1.5679,8100.0,07-16-2022,,,
51.0,Getbucks Microfinance Bank Limited,16.0,16.0,0.0,07-16-2022,,,
53.0,Hippo Valley Estates Limited,248.0,248.0,400.0,07-16-2022,,,
55.0,Innscor Africa Limited,324.0461,321.9983,428400.0,07-16-2022,,,
57.0,Lafarge Cement Zimbabwe Limited,143.5,143.5,0.0,07-16-2022,,,
59.0,Mashonaland Holdings Limited,5.0,5.0,52100.0,07-16-2022,,,
61.0,Masimba Holdings Limited,51.0,51.0,5000.0,07-16-2022,,,
63.0,Meikles Limited,105.0,105.0,0.0,07-16-2022,,,
65.0,Nampak Zimbabwe Limited,10.5,11.0,1200.0,07-16-2022,,,
67.0,National Foods Holdings Limited,1611.0,1611.0,0.0,07-16-2022,,,
69.0,National Tyre Services Limited,10.25,10.25,0.0,07-16-2022,,,
71.0,Nmbz Holdings Limited,25.45,25.45,0.0,07-16-2022,,,
73.0,Ok Zimbabwe Limited,29.0295,29.058,159200.0,07-16-2022,,,
74.0,Proplastics Limited,26.0,23.1214,8400.0,07-16-2022,,,
76.0,Rainbow Tourism Group Limited,8.525,8.525,0.0,07-16-2022,,,
78.0,Riozim Limited,110.0,110.0,0.0,07-16-2022,,,
80.0,Seed Co Limited,100.3609,100.3571,12000.0,07-16-2022,,,
82.0,Simbisa Brands Limited,178.3404,187.8759,94300.0,07-16-2022,,,
84.0,Starafricacorporation Limited,1.7706,1.7881,545700.0,07-16-2022,,,
86.0,Tanganda Tea Company Limited,142.0,141.4048,8400.0,07-16-2022,,,
88.0,Truworths Limited,2.29,2.285,600.0,07-16-2022,,,
90.0,Tsl Limited,99.9821,100.0,200.0,07-16-2022,,,
92.0,Turnall Holdings Limited,4.0,4.0,0.0,07-16-2022,,,
94.0,Unifreight Africa Limited,29.0,29.0,0.0,07-16-2022,,,
96.0,Willdale Limited,1.7503,1.5583,12600.0,07-16-2022,,,
98.0,Zb Financial Holdings Limited,132.0,132.0,0.0,07-16-2022,,,
100.0,Zeco Holdings Limited,0.0288,0.0288,0.0,07-16-2022,,,
102.0,Zimbabwe Newspapers (1980) Limited,5.38,5.39,100.0,07-16-2022,,,
104.0,Zimplow Holdings Limited,20.1004,20.1004,0.0,07-16-2022,,,
106.0,Zimre Holdings Limited,3.9279,3.9483,1425400.0,07-16-2022,,,
,Afdis Distillers Limited,,,,08-10-2022,330.0,330.0,0.0
,African Sun Limited,,,,08-10-2022,17.0233,16.5,500.0
,Amalgamated Regional Trading (Art) Holdings Limited,,,,08-10-2022,17.0,17.0,0.0
,Ariston Holdings Limited,,,,08-10-2022,2.5,2.5,4000.0
,Axia Corporation Limited,,,,08-10-2022,76.0,74.0625,14400.0
,Bridgefort Capital Limited,,,,08-10-2022,19.0,19.0,0.0
,Bridgefort Capital Limited Class B,,,,08-10-2022,26.0,26.0,0.0
,British American Tobacco Zimbabwe Limited,,,,08-10-2022,2450.0,2450.0,0.0
,Cafca Limited,,,,08-10-2022,235.5,235.5,0.0
,Cbz Holdings Limited,,,,08-10-2022,132.0162,130.0,200.0
,Cfi Holdings Limited,,,,08-10-2022,370.0,370.0,0.0
,Dairibord Holdings Limited,,,,08-10-2022,30.0,28.0,1000.0
,Delta Corporation Limited,,,,08-10-2022,220.9952,219.7121,625700.0
,Ecocash Holdings Zimbabwe Limited,,,,08-10-2022,49.0,48.2391,2300.0
,Econet Wireless Zimbabwe Limited,,,,08-10-2022,159.7215,159.069,2900.0
,Edgars Stores Limited,,,,08-10-2022,6.0003,6.1,100.0
,Fbc Holdings Limited,,,,08-10-2022,60.625,60.625,0.0
,Fidelity Life Assurance Limited,,,,08-10-2022,22.0,22.0,2200.0
,First Capital Bank Limited,,,,08-10-2022,8.6143,8.5304,11200.0
,First Mutual Holdings Limited,,,,08-10-2022,18.0,18.0,0.0
,First Mutual Properties Limited,,,,08-10-2022,9.0,9.0,300.0
,General Beltings Holdings Limited,,,,08-10-2022,1.591,1.5731,5200.0
,Getbucks Microfinance Bank Limited,,,,08-10-2022,17.0,17.0,200.0
,Hippo Valley Estates Limited,,,,08-10-2022,246.95,246.95,0.0
,Innscor Africa Limited,,,,08-10-2022,289.9113,290.3544,74300.0
,Lafarge Cement Zimbabwe Limited,,,,08-10-2022,120.0,120.0,0.0
,Mashonaland Holdings Limited,,,,08-10-2022,4.9959,4.3349,82000.0
,Masimba Holdings Limited,,,,08-10-2022,50.0,50.0,0.0
,Meikles Limited,,,,08-10-2022,109.0,109.0,400.0
,Nampak Zimbabwe Limited,,,,08-10-2022,12.0,12.0,0.0
,National Foods Holdings Limited,,,,08-10-2022,1750.0,1750.0,0.0
,National Tyre Services Limited,,,,08-10-2022,11.75,11.75,0.0
,Nmbz Holdings Limited,,,,08-10-2022,20.0,17.0,1300.0
,Ok Zimbabwe Limited,,,,08-10-2022,30.0,30.169,3406000.0
,Proplastics Limited,,,,08-10-2022,25.0,25.0,3500.0
,Rainbow Tourism Group Limited,,,,08-10-2022,9.0,9.0,200.0
,Riozim Limited,,,,08-10-2022,93.5238,93.5238,0.0
,Seed Co Limited,,,,08-10-2022,90.0,90.0385,7400.0
,Simbisa Brands Limited,,,,08-10-2022,190.1396,186.1251,17500.0
,Starafricacorporation Limited,,,,08-10-2022,1.5876,1.5625,2000.0
,Tanganda Tea Company Limited,,,,08-10-2022,138.5,138.5,0.0
,Truworths Limited,,,,08-10-2022,2.0394,1.8507,261300.0
,Tsl Limited,,,,08-10-2022,85.0,85.0,0.0
,Turnall Holdings Limited,,,,08-10-2022,4.57,4.57,0.0
,Unifreight Africa Limited,,,,08-10-2022,50.0,50.0,0.0
,Willdale Limited,,,,08-10-2022,2.61,2.6271,7900.0
,Zb Financial Holdings Limited,,,,08-10-2022,122.0,122.0,0.0
,Zeco Holdings Limited,,,,08-10-2022,0.0288,0.0288,0.0
,Zimbabwe Newspapers (1980) Limited,,,,08-10-2022,5.0,5.0,100.0
,Zimplow Holdings Limited,,,,08-10-2022,19.0,19.0,400.0
,Zimre Holdings Limited,,,,08-10-2022,3.6186,3.713,2300.0
,EQUITIES,,,,08-17-2022,,,
,Afdis Distillers Limited,,,,08-17-2022,324.9,324.9,0.0
,African Sun Limited,,,,08-17-2022,17.2353,16.2857,1400.0
,Amalgamated Regional Trading (Art) Holdings Limited,,,,08-17-2022,17.0,17.0,100.0
,Ariston Holdings Limited,,,,08-17-2022,2.5,2.6,7000.0
,Axia Corporation Limited,,,,08-17-2022,67.9939,68.0023,87000.0
,Bridgefort Capital Limited,,,,08-17-2022,19.0,19.0,0.0
,Bridgefort Capital Limited Class B,,,,08-17-2022,26.0,26.0,0.0
,British American Tobacco Zimbabwe Limited,,,,08-17-2022,2449.0,2449.0,0.0
,Cafca Limited,,,,08-17-2022,235.5,235.5,0.0
,Cbz Holdings Limited,,,,08-17-2022,125.0562,124.9943,6100.0
,Cfi Holdings Limited,,,,08-17-2022,370.0,370.0,0.0
,Dairibord Holdings Limited,,,,08-17-2022,28.0,28.0,500.0
,Delta Corporation Limited,,,,08-17-2022,218.6132,220.0869,670300.0
,Ecocash Holdings Zimbabwe Limited,,,,08-17-2022,46.166,42.95,15900.0
,Econet Wireless Zimbabwe Limited,,,,08-17-2022,144.1005,136.4675,7700.0
,Edgars Stores Limited,,,,08-17-2022,6.75,7.75,1200.0
,Fbc Holdings Limited,,,,08-17-2022,58.85,58.85,489400.0
,Fidelity Life Assurance Limited,,,,08-17-2022,22.0,22.0,200.0
,First Capital Bank Limited,,,,08-17-2022,7.0004,7.8357,2800.0
,First Mutual Holdings Limited,,,,08-17-2022,19.0,19.0,300.0
,First Mutual Properties Limited,,,,08-17-2022,8.34,7.6481,2100.0
,General Beltings Holdings Limited,,,,08-17-2022,1.5,1.5,0.0
,Getbucks Microfinance Bank Limited,,,,08-17-2022,17.0,17.0,0.0
,Hippo Valley Estates Limited,,,,08-17-2022,245.0,245.0,100.0
,Innscor Africa Limited,,,,08-17-2022,265.162,265.2956,126800.0
,Lafarge Cement Zimbabwe Limited,,,,08-17-2022,120.0,120.0,39300.0
,Mashonaland Holdings Limited,,,,08-17-2022,4.9974,5.0,767100.0
,Masimba Holdings Limited,,,,08-17-2022,50.0,50.0,200.0
,Meikles Limited,,,,08-17-2022,105.0,99.8271,6100.0
,Nampak Zimbabwe Limited,,,,08-17-2022,10.8849,10.8849,0.0
,National Foods Holdings Limited,,,,08-17-2022,1750.0,1750.0,0.0
,National Tyre Services Limited,,,,08-17-2022,10.5,10.5,0.0
,Nmbz Holdings Limited,,,,08-17-2022,17.0,16.5,300.0
,Ok Zimbabwe Limited,,,,08-17-2022,30.0,29.9998,3317100.0
,Proplastics Limited,,,,08-17-2022,25.0,25.0,0.0
,Rainbow Tourism Group Limited,,,,08-17-2022,9.0,7.85,1100.0
,Riozim Limited,,,,08-17-2022,93.5238,93.5238,0.0
,Seed Co Limited,,,,08-17-2022,90.2632,89.9616,29000.0
,Simbisa Brands Limited,,,,08-17-2022,178.8152,173.9869,193500.0
,Starafricacorporation Limited,,,,08-17-2022,1.5462,1.5386,76600.0
,Tanganda Tea Company Limited,,,,08-17-2022,138.0,132.3133,15000.0
,Truworths Limited,,,,08-17-2022,2.0,2.0,1000.0
,Tsl Limited,,,,08-17-2022,85.0,72.25,5000.0
,Turnall Holdings Limited,,,,08-17-2022,4.5725,4.57,263600.0
,Unifreight Africa Limited,,,,08-17-2022,43.0556,43.0556,0.0
,Willdale Limited,,,,08-17-2022,2.3294,2.2358,23700.0
,Zb Financial Holdings Limited,,,,08-17-2022,114.0,114.0,0.0
,Zeco Holdings Limited,,,,08-17-2022,0.0288,0.0288,0.0
,Zimbabwe Newspapers (1980) Limited,,,,08-17-2022,4.25,4.2353,34100.0
,Zimplow Holdings Limited,,,,08-17-2022,16.2545,16.2545,0.0
,Zimre Holdings Limited,,,,08-17-2022,3.75,4.0,2000.0
,,,,,08-17-2022,,,6193600.0
,,,,,08-25-2022,EQUITIES,,
,1.0,,,,08-25-2022,324.9,324.9,0.0
,2.0,,,,08-25-2022,14.3657,14.1201,50300.0
,3.0,,,,08-25-2022,17,17.0,0.0
,4.0,,,,08-25-2022,2.4821,2.4159,2700.0
,5.0,,,,08-25-2022,63.1126,63.1126,0.0
,6.0,,,,08-25-2022,13.75,13.75,0.0
,7.0,,,,08-25-2022,26,26.0,0.0
,8.0,,,,08-25-2022,2449,2449.0,0.0
,9.0,,,,08-25-2022,200,200.0,0.0
,10.0,,,,08-25-2022,131.6667,131.7,400.0
,11.0,,,,08-25-2022,370,370.0,0.0
,12.0,,,,08-25-2022,24.5,24.5,3600.0
,13.0,,,,08-25-2022,254.0606,249.3552,74700.0
,14.0,,,,08-25-2022,39.1214,39.9753,24300.0
,15.0,,,,08-25-2022,119.8523,116.9559,513000.0
,16.0,,,,08-25-2022,7.75,7.75,400.0
,17.0,,,,08-25-2022,58.75,58.75,0.0
,18.0,,,,08-25-2022,22,22.0,0.0
,19.0,,,,08-25-2022,7.5997,7.4913,37700.0
,20.0,,,,08-25-2022,19,19.0,100.0
,21.0,,,,08-25-2022,5.4018,6.03,16400.0
,22.0,,,,08-25-2022,1.4,1.4021,25300.0
,23.0,,,,08-25-2022,17,17.0,0.0
,24.0,,,,08-25-2022,245,245.0,0.0
,25.0,,,,08-25-2022,264,267.0461,18100.0
,26.0,,,,08-25-2022,120,120.0,1000.0
,27.0,,,,08-25-2022,5.1,5.0,400.0
,28.0,,,,08-25-2022,50,42.5,5200.0
,29.0,,,,08-25-2022,100,93.5269,9300.0
,30.0,,,,08-25-2022,10.5,10.5,5500.0
,31.0,,,,08-25-2022,1500,1407.0,500.0
,32.0,,,,08-25-2022,11.75,13.0,100.0
,33.0,,,,08-25-2022,17.9998,17.0,700.0
