,0,1,2,3,4,5,6,7,8
3,EQUITIES,,,,,,,,
4,,,,,,,,,
5,Afdis Distillers Limited,298.5875,298.5875,0.0,,,,,0.0
6,,,,,,,,,
7,African Sun Limited,89.9368,89.0,2400.0,,,,,213600.0
8,,,,,,,,,
9,Amalgamated Regional Trading (Art) Holdings Limited,29.3636,29.3636,0.0,,,,,0.0
10,,,,,,,,,
11,,,,,,,,,
12,Ariston Holdings Limited,10.4706,10.0109,51500.0,,,,,515560.0
13,,,,,,,,,
14,Bridgefort Capital Limited,9.2053,9.2053,0.0,,,,,0.0
15,,,,,,,,,
16,Bridgefort Capital Limited Class B,29.3,29.3,0.0,,,,,0.0
17,,,,,,,,,
18,British American Tobacco Zimbabwe Limited,2699.05,2699.05,0.0,,,,,0.0
19,,,,,,,,,
20,,,,,,,,,
21,Cafca Limited,360.0,360.0,0.0,,,,,0.0
22,,,,,,,,,
23,Cbz Holdings Limited,178.0,176.126,12700.0,,,,,2236800.0
24,,,,,,,,,
25,Cfi Holdings Limited,588.8,588.8,0.0,,,,,0.0
26,,,,,,,,,
27,Dairibord Holdings Limited,94.9167,94.9167,0.0,,,,,0.0
28,,,,,,,,,
29,Delta Corporation Limited,783.5881,754.9923,964000.0,,,,,728000000.0
30,,,,,,,,,
31,Ecocash Holdings Zimbabwe Limited,86.087,82.7292,256800.0,,,,,21244850.0
32,,,,,,,,,
33,Econet Wireless Zimbabwe Limited,277.185,268.3712,21000.0,,,,,5635795.0
34,,,,,,,,,
35,Edgars Stores Limited,20.0146,20.0146,0.0,,,,,0.0
36,,,,,,,,,
37,Fbc Holdings Limited,92.2344,98.4655,10000.0,,,,,984655.0
38,,,,,,,,,
39,Fidelity Life Assurance Limited,30.0,30.0,300.0,,,,,9000.0
40,,,,,,,,,
41,First Capital Bank Limited,32.9606,33.8335,141000.0,,,,,4770520.0
42,,,,,,,,,
43,First Mutual Holdings Limited,20.0,20.0,0.0,,,,,0.0
44,,,,,,,,,
45,First Mutual Properties Limited,15.0,15.0,100.0,,,,,1500.0
46,,,,,,,,,
47,General Beltings Holdings Limited,2.0,2.0,2800.0,,,,,5600.0
48,,,,,,,,,
49,Getbucks Microfinance Bank Limited,23.0,23.0,0.0,,,,,0.0
50,,,,,,,,,
51,Hippo Valley Estates Limited,600.0187,600.0187,0.0,,,,,0.0
52,,,,,,,,,
53,Mashonaland Holdings Limited,10.6296,11.5,4900.0,,,,,56350.0
54,,,,,,,,,
55,Masimba Holdings Limited,120.0,120.0,0.0,,,,,0.0
56,,,,,,,,,
57,Meikles Limited,310.6287,310.6652,28600.0,,,,,8885025.0
58,,,,,,,,,
59,Nampak Zimbabwe Limited,32.2,31.3875,1600.0,,,,,50220.0
60,,,,,,,,,
61,National Tyre Services Limited,12.5,13.0,100.0,,,,,1300.0
62,,,,,,,,,
63,Nmbz Holdings Limited,49.3366,51.717,5300.0,,,,,274100.0
64,,,,,,,,,
65,Ok Zimbabwe Limited,70.0066,69.7587,249500.0,,,,,17404790.0
66,,,,,,,,,
67,Proplastics Limited,95.0,95.0,100.0,,,,,9500.0
68,,,,,,,,,
69,Rainbow Tourism Group Limited,13.0,13.0,300.0,,,,,3900.0
70,,,,,,,,,
71,Riozim Limited,184.0,184.0,0.0,,,,,0.0
72,,,,,,,,,
73,Seed Co Limited,230.2,230.2,300.0,,,,,69060.0
74,Starafricacorporation Limited,1.65,1.57,381300.0,,,,,598645.5
75,,,,,,,,,
76,Tanganda Tea Company Limited,345.367,315.05,100.0,,,,,31505.0
77,,,,,,,,,
78,Truworths Limited,2.4,2.4643,2800.0,,,,,6900.0
79,,,,,,,,,
80,Tsl Limited,85.0,85.0,0.0,,,,,0.0
81,,,,,,,,,
82,Turnall Holdings Limited,7.0,7.0,0.0,,,,,0.0
83,,,,,,,,,
84,Unifreight Africa Limited,70.0,70.0,0.0,,,,,0.0
85,,,,,,,,,
86,Willdale Limited,3.65,3.4947,11200.0,,,,,39140.75
87,,,,,,,,,
88,Zb Financial Holdings Limited,104.4916,100.0,100.0,,,,,10000.0
89,,,,,,,,,
90,Zeco Holdings Limited,0.0331,0.0331,0.0,,,,,0.0
91,,,,,,,,,
92,Zimbabwe Newspapers (1980) Limited,5.81,5.81,0.0,,,,,0.0
93,,,,,,,,,
94,Zimplow Holdings Limited,34.0,36.5,100.0,,,,,3650.0
95,,,,,,,,,
96,Zimre Holdings Limited,11.4977,11.5,5400.0,,,,,62100.0
97,,,,2154300.0,,,,,791000000.0
98,,,,,,,,,
99,,,,2154300.0,,,,,791000000.0
