,0,1,2,3
3,EQUITIES,,,
4,,,,
5,Afdis Distillers Limited,225.0,225.0,77100.0
6,,,,
7,Amalgamated Regional Trading (Art) Holdings Limited,8.11,8.11,0.0
8,,,,
9,,,,
10,Ariston Holdings Limited,4.0,4.0,3100.0
11,,,,
12,Bridgefort Capital Limited,1.4007,1.4007,0.0
13,,,,
14,Bridgefort Capital Limited Class B,1.3207,1.3207,0.0
15,,,,
16,British American Tobacco Zimbabwe Limited,2482.4583,2482.4583,0.0
17,,,,
18,,,,
19,Cafca Limited,621.3121,621.3121,0.0
20,,,,
21,Cbz Holdings Limited,360.0625,360.5417,600.0
22,,,,
23,Cfi Holdings Limited,140.05,140.05,0.0
24,,,,
25,Dairibord Holdings Limited,56.55,56.55,0.0
26,,,,
27,Delta Corporation Limited,739.7199,757.3045,11200.0
28,,,,
29,Ecocash Holdings Zimbabwe Limited,17.6395,17.3266,20700.0
30,,,,
31,Econet Wireless Zimbabwe Limited,206.4485,188.0401,140300.0
32,,,,
33,Fbc Holdings Limited,183.45,183.45,0.0
34,,,,
35,Fidelity Life Assurance Limited,66.002,66.002,0.0
36,,,,
37,First Mutual Holdings Limited,200.0,200.0,0.0
38,,,,
39,First Mutual Properties Limited,36.1479,37.0,1000.0
40,,,,
41,General Beltings Holdings Limited,5.0,5.0,0.0
42,,,,
43,Hippo Valley Estates Limited,340.0,339.9875,13600.0
44,,,,
45,Mashonaland Holdings Limited,13.692,13.692,0.0
46,,,,
47,Masimba Holdings Limited,154.0,153.9457,14000.0
48,,,,
49,Meikles Limited,254.8088,260.0496,13100.0
50,,,,
51,Nampak Zimbabwe Limited,38.0,40.0,200.0
52,,,,
53,National Tyre Services Limited,12.8064,12.8064,0.0
54,,,,
55,Nmbz Holdings Limited,173.25,173.25,58500.0
56,,,,
57,Ok Zimbabwe Limited,38.297,38.9125,1600.0
58,,,,
59,Proplastics Limited,43.55,43.55,7800.0
60,,,,
61,Rainbow Tourism Group Limited,21.25,21.25,0.0
62,,,,
63,Riozim Limited,63.0,63.0,4400.0
64,,,,
65,Seed Co Limited,170.05,170.0172,11600.0
66,,,,
67,Starafricacorporation Limited,0.8196,0.81,5000.0
68,,,,
69,Tanganda Tea Company Limited,170.0,145.0,2000.0
70,,,,
71,Tsl Limited,106.5,106.5,0.0
72,,,,
73,Turnall Holdings Limited,2.71,2.75,13700.0
74,,,,
75,Unifreight Africa Limited,26.0,26.0,0.0
76,Willdale Limited,4.0,4.0,79100.0
77,,,,
78,Zb Financial Holdings Limited,190.0,190.0,0.0
79,,,,
80,Zeco Holdings Limited,0.0018,0.0018,0.0
81,,,,
82,Zimbabwe Newspapers (1980) Limited,3.96,3.96,0.0
83,,,,
84,Zimre Holdings Limited,36.0346,34.8054,61900.0
85,,,,540500.0
86,,,,
87,,,,540500.0
