,name,opening,closing,volume
5,Afdis Distillers Limited,390.95,390.95,0.0
7,African Sun Limited,11.7917,13.0,10100.0
9,Amalgamated Regional Trading (Art) Holdings Limited,18.0,18.0,0.0
12,Ariston Holdings Limited,2.3925,2.3925,0.0
14,Axia Corporation Limited,80.0463,80.0,35800.0
16,Bridgefort Capital Limited,19.9988,19.9988,0.0
18,Bridgefort Capital Limited Class B,26.0,26.0,0.0
20,British American Tobacco Zimbabwe Limited,2380.0,2380.0,0.0
23,Cafca Limited,260.0,260.0,300.0
25,Cbz Holdings Limited,130.4585,135.0,200.0
27,Cfi Holdings Limited,370.0,370.0,300.0
29,Dairibord Holdings Limited,25.05,25.05,0.0
31,Delta Corporation Limited,281.2512,281.5926,777200.0
33,Ecocash Holdings Zimbabwe Limited,51.0839,50.965,2393700.0
35,Econet Wireless Zimbabwe Limited,115.6155,119.0423,3163600.0
37,Edgars Stores Limited,5.9273,5.9273,0.0
39,Fbc Holdings Limited,65.0,65.0,1300.0
41,Fidelity Life Assurance Limited,22.0,22.0,0.0
43,First Capital Bank Limited,9.6155,9.8111,2700.0
45,First Mutual Holdings Limited,20.0,17.5455,1100.0
47,First Mutual Properties Limited,8.0,7.4694,19600.0
49,General Beltings Holdings Limited,1.4,1.4,2300.0
51,Getbucks Microfinance Bank Limited,16.0,16.0,200.0
53,Hippo Valley Estates Limited,248.0,248.0,19800.0
55,Innscor Africa Limited,320.7621,324.0461,430800.0
57,Lafarge Cement Zimbabwe Limited,124.8,143.5,10300.0
59,Mashonaland Holdings Limited,4.8002,5.0,2700.0
61,Masimba Holdings Limited,51.0,51.0,1100.0
63,Meikles Limited,102.5543,105.0,100.0
65,Nampak Zimbabwe Limited,11.0,10.5,100.0
67,National Foods Holdings Limited,1611.0,1611.0,0.0
69,National Tyre Services Limited,12.0,10.25,44500.0
71,Nmbz Holdings Limited,25.5,25.45,300.0
73,Ok Zimbabwe Limited,27.946,29.0295,108600.0
74,Proplastics Limited,26.0,26.0,0.0
76,Rainbow Tourism Group Limited,8.525,8.525,0.0
78,Riozim Limited,110.0,110.0,0.0
80,Seed Co Limited,105.0,100.3609,3200.0
82,Simbisa Brands Limited,174.9118,178.3404,476500.0
84,Starafricacorporation Limited,1.6314,1.7706,68000.0
86,Tanganda Tea Company Limited,143.3333,142.0,700.0
88,Truworths Limited,2.2725,2.29,5600.0
90,Tsl Limited,99.9821,99.9821,0.0
92,Turnall Holdings Limited,4.4375,4.0,8100.0
94,Unifreight Africa Limited,30.0086,29.0,200.0
96,Willdale Limited,1.925,1.7503,1600.0
98,Zb Financial Holdings Limited,132.0,132.0,0.0
100,Zeco Holdings Limited,0.0288,0.0288,0.0
102,Zimbabwe Newspapers (1980) Limited,5.38,5.38,0.0
104,Zimplow Holdings Limited,20.1004,20.1004,0.0
106,Zimre Holdings Limited,4.1894,3.9279,2635500.0
