Name,Opening_Price,Closing_Price,Volume_Traded
Afdis Distillers Limited,330.0,330.0,0.0
African Sun Limited,17.0233,16.5,500.0
Amalgamated Regional Trading (Art) Holdings Limited,17.0,17.0,0.0
Ariston Holdings Limited,2.5,2.5,4000.0
Axia Corporation Limited,76.0,74.0625,14400.0
Bridgefort Capital Limited,19.0,19.0,0.0
Bridgefort Capital Limited Class B,26.0,26.0,0.0
British American Tobacco Zimbabwe Limited,2450.0,2450.0,0.0
Cafca Limited,235.5,235.5,0.0
Cbz Holdings Limited,132.0162,130.0,200.0
Cfi Holdings Limited,370.0,370.0,0.0
Dairibord Holdings Limited,30.0,28.0,1000.0
Delta Corporation Limited,220.9952,219.7121,625700.0
Ecocash Holdings Zimbabwe Limited,49.0,48.2391,2300.0
Econet Wireless Zimbabwe Limited,159.7215,159.069,2900.0
Edgars Stores Limited,6.0003,6.1,100.0
Fbc Holdings Limited,60.625,60.625,0.0
Fidelity Life Assurance Limited,22.0,22.0,2200.0
First Capital Bank Limited,8.6143,8.5304,11200.0
First Mutual Holdings Limited,18.0,18.0,0.0
First Mutual Properties Limited,9.0,9.0,300.0
General Beltings Holdings Limited,1.591,1.5731,5200.0
Getbucks Microfinance Bank Limited,17.0,17.0,200.0
Hippo Valley Estates Limited,246.95,246.95,0.0
Innscor Africa Limited,289.9113,290.3544,74300.0
Lafarge Cement Zimbabwe Limited,120.0,120.0,0.0
Mashonaland Holdings Limited,4.9959,4.3349,82000.0
Masimba Holdings Limited,50.0,50.0,0.0
Meikles Limited,109.0,109.0,400.0
Nampak Zimbabwe Limited,12.0,12.0,0.0
National Foods Holdings Limited,1750.0,1750.0,0.0
National Tyre Services Limited,11.75,11.75,0.0
Nmbz Holdings Limited,20.0,17.0,1300.0
Ok Zimbabwe Limited,30.0,30.169,3406000.0
Proplastics Limited,25.0,25.0,3500.0
Rainbow Tourism Group Limited,9.0,9.0,200.0
Riozim Limited,93.5238,93.5238,0.0
Seed Co Limited,90.0,90.0385,7400.0
Simbisa Brands Limited,190.1396,186.1251,17500.0
Starafricacorporation Limited,1.5876,1.5625,2000.0
Tanganda Tea Company Limited,138.5,138.5,0.0
Truworths Limited,2.0394,1.8507,261300.0
Tsl Limited,85.0,85.0,0.0
Turnall Holdings Limited,4.57,4.57,0.0
Unifreight Africa Limited,50.0,50.0,0.0
Willdale Limited,2.61,2.6271,7900.0
Zb Financial Holdings Limited,122.0,122.0,0.0
Zeco Holdings Limited,0.0288,0.0288,0.0
Zimbabwe Newspapers (1980) Limited,5.0,5.0,100.0
Zimplow Holdings Limited,19.0,19.0,400.0
Zimre Holdings Limited,3.6186,3.713,2300.0
