,0,1,2,3,4
3,1.0,Afdis Distillers Limited,1800.0,1800.0,0.0
4,,,,,
5,2.0,Amalgamated Regional Trading (Art) Holdings Limited,51.0,51.0,0.0
6,,,,,
7,,,,,
8,3.0,Ariston Holdings Limited,29.4,30.0,900.0
9,,,,,
10,4.0,Bridgefort Capital Limited,16.5909,16.5909,0.0
11,,,,,
12,5.0,Bridgefort Capital Limited Class B,33.65,33.65,0.0
13,,,,,
14,6.0,British American Tobacco Zimbabwe Limited,17925.46,17924.95,800.0
15,,,,,
16,,,,,
17,7.0,Cafca Limited,2399.6,2399.6,0.0
18,,,,,
19,8.0,Cbz Holdings Limited,641.5625,641.5625,0.0
20,,,,,
21,9.0,Cfi Holdings Limited,2200.0,2200.0,0.0
22,,,,,
23,10.0,Dairibord Holdings Limited,675.6667,675.6667,0.0
24,,,,,
25,11.0,Delta Corporation Limited,2153.0578,2205.5268,1036500.0
26,,,,,
27,12.0,Ecocash Holdings Zimbabwe Limited,143.7793,139.9795,21500.0
28,,,,,
29,13.0,Econet Wireless Zimbabwe Limited,500.0461,512.8114,83700.0
30,,,,,
31,14.0,Edgars Stores Limited,115.0,115.0,0.0
32,,,,,
33,15.0,Fbc Holdings Limited,800.0,800.0,72000.0
34,,,,,
35,16.0,Fidelity Life Assurance Limited,130.0,130.0,0.0
36,,,,,
37,17.0,First Mutual Holdings Limited,196.0,196.0,226997219.0
38,,,,,
39,18.0,First Mutual Properties Limited,96.0,96.0,0.0
40,,,,,
41,19.0,General Beltings Holdings Limited,12.0,12.0,0.0
42,,,,,
43,20.0,Getbucks Microfinance Bank Limited,38.0,38.0,0.0
44,,,,,
45,21.0,Hippo Valley Estates Limited,1816.5289,1800.0,35800.0
46,,,,,
47,22.0,Mashonaland Holdings Limited,120.0119,120.0119,0.0
48,,,,,
49,23.0,Masimba Holdings Limited,450.3517,450.3517,0.0
50,,,,,
51,24.0,Meikles Limited,704.8741,705.5,300.0
52,,,,,
53,25.0,Nampak Zimbabwe Limited,182.0,182.0,65500.0
54,,,,,
55,26.0,National Tyre Services Limited,21.5,21.5,0.0
56,,,,,
57,27.0,Nmbz Holdings Limited,160.0836,160.0836,0.0
58,,,,,
59,28.0,Ok Zimbabwe Limited,131.7615,140.1107,165200.0
60,,,,,
61,29.0,Proplastics Limited,463.0,463.0,0.0
62,,,,,
63,30.0,Rainbow Tourism Group Limited,150.0,150.0,1300.0
64,,,,,
65,31.0,Riozim Limited,600.0,600.0,0.0
66,,,,,
67,32.0,Seed Co Limited,1043.0899,1043.0,55800.0
68,,,,,
69,33.0,Starafricacorporation Limited,5.41,5.5759,46700.0
70,,,,,
71,34.0,Tanganda Tea Company Limited,999.9894,999.9833,300.0
72,35.0,Truworths Limited,10.0,10.0,0.0
73,,,,,
74,36.0,Tsl Limited,500.05,500.05,0.0
75,,,,,
76,37.0,Turnall Holdings Limited,16.0,16.0,0.0
77,,,,,
78,38.0,Unifreight Africa Limited,220.0,220.0,0.0
79,,,,,
80,39.0,Willdale Limited,3.3544,5.5,11900.0
81,,,,,
82,40.0,Zb Financial Holdings Limited,600.0,634.0,4100.0
83,,,,,
84,41.0,Zeco Holdings Limited,0.0331,0.0331,0.0
85,,,,,
86,42.0,Zimbabwe Newspapers (1980) Limited,10.6923,10.6923,0.0
87,,,,,
88,43.0,Zimre Holdings Limited,70.4875,70.4875,0.0
