,0,1,2,3,4,5,6,7,8,9
3,EQUITIES,EQUITIES,,,,,,,,
4,,,,,,,,,,
5,Afdis Distillers Limited,Afdis Distillers Limited,260.165,260.165,0.0,,,,,0.0
6,,,,,,,,,,
7,African Sun Limited,African Sun Limited,24.3947,23.9259,2700.0,,,,,64600.0
8,,,,,,,,,,
9,Amalgamated Regional Trading (Art) Holdings Limited,Amalgamated Regional Trading (Art) Holdings Limited,15.4,15.4,3500.0,,,,,53900.0
10,,,,,,,,,,
11,,,,,,,,,,
12,Ariston Holdings Limited,Ariston Holdings Limited,3.4,3.0926,2700.0,,,,,8350.0
13,,,,,,,,,,
14,Axia Corporation Limited,Axia Corporation Limited,67.05,70.0204,14700.0,,,,,1029300.0
15,,,,,,,,,,
16,Bridgefort Capital Limited,Bridgefort Capital Limited,8.0,8.0,0.0,,,,,0.0
17,,,,,,,,,,
18,Bridgefort Capital Limited Class B,Bridgefort Capital Limited Class B,26.0,26.0,0.0,,,,,0.0
19,,,,,,,,,,
20,British American Tobacco Zimbabwe Limited,British American Tobacco Zimbabwe Limited,2890.0,2890.0,800.0,,,,,2312000.0
21,,,,,,,,,,
22,,,,,,,,,,
23,Cafca Limited,Cafca Limited,200.05,200.05,0.0,,,,,0.0
24,,,,,,,,,,
25,Cbz Holdings Limited,Cbz Holdings Limited,123.95,123.0198,4800.0,,,,,590495.0
26,,,,,,,,,,
27,Cfi Holdings Limited,Cfi Holdings Limited,358.0,358.0,0.0,,,,,0.0
28,,,,,,,,,,
29,Dairibord Holdings Limited,Dairibord Holdings Limited,37.0,37.0,0.0,,,,,0.0
30,,,,,,,,,,
31,Delta Corporation Limited,Delta Corporation Limited,245.426,245.543,244100.0,,,,,59937040.0
32,,,,,,,,,,
33,Ecocash Holdings Zimbabwe Limited,Ecocash Holdings Zimbabwe Limited,36.0003,36.016,5300.0,,,,,190885.0
34,,,,,,,,,,
35,Econet Wireless Zimbabwe Limited,Econet Wireless Zimbabwe Limited,78.375,75.2721,731700.0,,,,,55076590.0
36,,,,,,,,,,
37,Edgars Stores Limited,Edgars Stores Limited,9.0,9.0,0.0,,,,,0.0
38,,,,,,,,,,
39,Fbc Holdings Limited,Fbc Holdings Limited,62.0,61.95,8200.0,,,,,507990.0
40,,,,,,,,,,
41,Fidelity Life Assurance Limited,Fidelity Life Assurance Limited,22.65,22.65,0.0,,,,,0.0
42,,,,,,,,,,
43,First Capital Bank Limited,First Capital Bank Limited,10.8102,11.0029,463900.0,,,,,5104250.0
44,,,,,,,,,,
45,First Mutual Holdings Limited,First Mutual Holdings Limited,24.0,24.0,0.0,,,,,0.0
46,,,,,,,,,,
47,First Mutual Properties Limited,First Mutual Properties Limited,10.0,10.0,0.0,,,,,0.0
48,,,,,,,,,,
49,General Beltings Holdings Limited,General Beltings Holdings Limited,1.7025,1.7025,3100.0,,,,,5277.75
50,,,,,,,,,,
51,Getbucks Microfinance Bank Limited,Getbucks Microfinance Bank Limited,21.8,21.8,0.0,,,,,0.0
52,,,,,,,,,,
53,Hippo Valley Estates Limited,Hippo Valley Estates Limited,170.05,170.05,0.0,,,,,0.0
54,,,,,,,,,,
55,Innscor Africa Limited,Innscor Africa Limited,344.9577,345.4124,71100.0,,,,,24558830.0
56,,,,,,,,,,
57,Lafarge Cement Zimbabwe Limited,Lafarge Cement Zimbabwe Limited,143.75,143.75,0.0,,,,,0.0
58,,,,,,,,,,
59,Mashonaland Holdings Limited,Mashonaland Holdings Limited,17.25,17.0,1400.0,,,,,23800.0
60,,,,,,,,,,
61,Masimba Holdings Limited,Masimba Holdings Limited,75.05,75.05,0.0,,,,,0.0
62,,,,,,,,,,
63,Meikles Limited,Meikles Limited,102.0,102.0,0.0,,,,,0.0
64,,,,,,,,,,
65,Nampak Zimbabwe Limited,Nampak Zimbabwe Limited,8.0,8.0,0.0,,,,,0.0
66,,,,,,,,,,
67,National Foods Holdings Limited,National Foods Holdings Limited,1125.05,1200.0,6600.0,,,,,7920000.0
68,,,,,,,,,,
69,National Tyre Services Limited,National Tyre Services Limited,10.2,10.2,0.0,,,,,0.0
70,,,,,,,,,,
71,Nmbz Holdings Limited,Nmbz Holdings Limited,30.0,30.0,0.0,,,,,0.0
72,,,,,,,,,,
73,Ok Zimbabwe Limited,Ok Zimbabwe Limited,26.3309,26.1671,14900.0,,,,,389890.0
74,Proplastics Limited,Proplastics Limited,26.0,26.0,0.0,,,,,0.0
75,,,,,,,,,,
76,Rainbow Tourism Group Limited,Rainbow Tourism Group Limited,7.85,7.8333,300.0,,,,,2350.0
77,,,,,,,,,,
78,Riozim Limited,Riozim Limited,140.0,140.0,0.0,,,,,0.0
79,,,,,,,,,,
80,Seed Co Limited,Seed Co Limited,78.0,78.0,0.0,,,,,0.0
81,,,,,,,,,,
82,Starafricacorporation Limited,Starafricacorporation Limited,1.4152,1.5,13600.0,,,,,20400.0
83,,,,,,,,,,
84,Tanganda Tea Company Limited,Tanganda Tea Company Limited,80.8823,85.0091,77300.0,,,,,6571200.0
85,,,,,,,,,,
86,Truworths Limited,Truworths Limited,2.75,2.75,2900.0,,,,,7975.0
87,,,,,,,,,,
88,Tsl Limited,Tsl Limited,42.4509,42.4509,0.0,,,,,0.0
89,,,,,,,,,,
90,Turnall Holdings Limited,Turnall Holdings Limited,3.9475,3.9475,0.0,,,,,0.0
91,,,,,,,,,,
92,Unifreight Africa Limited,Unifreight Africa Limited,51.55,51.55,0.0,,,,,0.0
93,,,,,,,,,,
94,Willdale Limited,Willdale Limited,1.9525,1.9525,0.0,,,,,0.0
95,,,,,,,,,,
96,Zb Financial Holdings Limited,Zb Financial Holdings Limited,112.95,112.95,0.0,,,,,0.0
97,,,,,,,,,,
98,Zeco Holdings Limited,Zeco Holdings Limited,0.0331,0.0331,0.0,,,,,0.0
99,,,,,,,,,,
100,Zimbabwe Newspapers (1980) Limited,Zimbabwe Newspapers (1980) Limited,2.4129,2.4129,0.0,,,,,0.0
101,,,,,,,,,,
