,0,1,2,3,4,5,6,7
3,EQUITIES,EQUITIES,,,,,,
4,,,,,,,,
5,Afdis Distillers Limited,Afdis Distillers Limited,Afdis Distillers Limited,,,260.165,260.2,100.0
6,,,,,,,,
7,African Sun Limited,African Sun Limited,,,,24.0,24.1622,4500.0
8,,,,,,,,
9,Amalgamated Regional Trading (Art) Holdings Limited,Amalgamated Regional Trading (Art) Holdings Limited,Amalgamated Regional Trading (Art) Holdings Limited,Amalgamated Regional Trading (Art) Holdings Limited,Amalgamated Regional Trading (Art) Holdings Limited,13.1005,13.1005,0.0
10,,,,,,,,
11,,,,,,,,
12,Ariston Holdings Limited,Ariston Holdings Limited,Ariston Holdings Limited,,,3.0231,3.4,4300.0
13,,,,,,,,
14,Axia Corporation Limited,Axia Corporation Limited,Axia Corporation Limited,,,80.2923,86.6174,29100.0
15,,,,,,,,
16,Bridgefort Capital Limited,Bridgefort Capital Limited,Bridgefort Capital Limited,,,8.0,8.0,200.0
17,,,,,,,,
18,Bridgefort Capital Limited Class B,Bridgefort Capital Limited Class B,Bridgefort Capital Limited Class B,Bridgefort Capital Limited Class B,,26.0,26.0,0.0
19,,,,,,,,
20,British American Tobacco Zimbabwe Limited,British American Tobacco Zimbabwe Limited,British American Tobacco Zimbabwe Limited,British American Tobacco Zimbabwe Limited,British American Tobacco Zimbabwe Limited,2880.0,2875.0,2200.0
21,,,,,,,,
22,,,,,,,,
23,Cafca Limited,Cafca Limited,,,,200.05,200.05,0.0
24,,,,,,,,
25,Cbz Holdings Limited,Cbz Holdings Limited,,,,124.0,124.0,200.0
26,,,,,,,,
27,Cfi Holdings Limited,Cfi Holdings Limited,,,,358.0,358.0,0.0
28,,,,,,,,
29,Dairibord Holdings Limited,Dairibord Holdings Limited,Dairibord Holdings Limited,,,31.45,31.45,0.0
30,,,,,,,,
31,Delta Corporation Limited,Delta Corporation Limited,Delta Corporation Limited,,,245.1473,251.7709,1149200.0
32,,,,,,,,
33,Ecocash Holdings Zimbabwe Limited,Ecocash Holdings Zimbabwe Limited,Ecocash Holdings Zimbabwe Limited,Ecocash Holdings Zimbabwe Limited,,35.0938,35.4575,70900.0
34,,,,,,,,
35,Econet Wireless Zimbabwe Limited,Econet Wireless Zimbabwe Limited,Econet Wireless Zimbabwe Limited,Econet Wireless Zimbabwe Limited,,75.037,75.4877,505300.0
36,,,,,,,,
37,Edgars Stores Limited,Edgars Stores Limited,Edgars Stores Limited,,,9.0,9.0,0.0
38,,,,,,,,
39,Fbc Holdings Limited,Fbc Holdings Limited,,,,61.95,62.5171,58400.0
40,,,,,,,,
41,Fidelity Life Assurance Limited,Fidelity Life Assurance Limited,Fidelity Life Assurance Limited,,,22.65,22.65,0.0
42,,,,,,,,
43,First Capital Bank Limited,First Capital Bank Limited,First Capital Bank Limited,,,10.8123,10.9288,23600.0
44,,,,,,,,
45,First Mutual Holdings Limited,First Mutual Holdings Limited,First Mutual Holdings Limited,,,24.0,24.0,500.0
46,,,,,,,,
47,First Mutual Properties Limited,First Mutual Properties Limited,First Mutual Properties Limited,,,10.0364,10.0,7700.0
48,,,,,,,,
49,General Beltings Holdings Limited,General Beltings Holdings Limited,General Beltings Holdings Limited,General Beltings Holdings Limited,,1.8,1.7025,500.0
50,,,,,,,,
51,Getbucks Microfinance Bank Limited,Getbucks Microfinance Bank Limited,Getbucks Microfinance Bank Limited,Getbucks Microfinance Bank Limited,,21.8,21.8,0.0
52,,,,,,,,
53,Hippo Valley Estates Limited,Hippo Valley Estates Limited,Hippo Valley Estates Limited,,,170.05,170.05,29800.0
54,,,,,,,,
55,Innscor Africa Limited,Innscor Africa Limited,Innscor Africa Limited,,,350.0411,353.4693,292400.0
56,,,,,,,,
57,Lafarge Cement Zimbabwe Limited,Lafarge Cement Zimbabwe Limited,Lafarge Cement Zimbabwe Limited,Lafarge Cement Zimbabwe Limited,,143.75,143.75,0.0
58,,,,,,,,
59,Mashonaland Holdings Limited,Mashonaland Holdings Limited,Mashonaland Holdings Limited,,,17.0,17.0,100.0
60,,,,,,,,
61,Masimba Holdings Limited,Masimba Holdings Limited,Masimba Holdings Limited,,,75.0,75.0,0.0
62,,,,,,,,
63,Meikles Limited,Meikles Limited,,,,102.0,102.0,100.0
64,,,,,,,,
65,Nampak Zimbabwe Limited,Nampak Zimbabwe Limited,Nampak Zimbabwe Limited,,,8.0,8.0,0.0
66,,,,,,,,
67,National Tyre Services Limited,National Tyre Services Limited,National Tyre Services Limited,,,10.2,10.2,0.0
68,,,,,,,,
69,Nmbz Holdings Limited,Nmbz Holdings Limited,Nmbz Holdings Limited,,,30.0,30.0,0.0
70,,,,,,,,
71,Ok Zimbabwe Limited,Ok Zimbabwe Limited,Ok Zimbabwe Limited,,,29.7523,27.9757,224100.0
72,,,,,,,,
73,Proplastics Limited,Proplastics Limited,,,,25.0,25.0,350000.0
74,Rainbow Tourism Group Limited,Rainbow Tourism Group Limited,Rainbow Tourism Group Limited,,,7.7163,7.71,700.0
75,,,,,,,,
76,Riozim Limited,Riozim Limited,,,,140.0,140.0,0.0
77,,,,,,,,
78,Seed Co Limited,Seed Co Limited,,,,72.1071,72.1,70400.0
79,,,,,,,,
80,Starafricacorporation Limited,Starafricacorporation Limited,Starafricacorporation Limited,,,1.4425,1.4506,102600.0
81,,,,,,,,
82,Tanganda Tea Company Limited,Tanganda Tea Company Limited,Tanganda Tea Company Limited,Tanganda Tea Company Limited,,85.0054,85.2424,6600.0
83,,,,,,,,
84,Truworths Limited,Truworths Limited,,,,2.75,2.75,0.0
85,,,,,,,,
86,Tsl Limited,Tsl Limited,,,,42.4509,42.4509,0.0
87,,,,,,,,
88,Turnall Holdings Limited,Turnall Holdings Limited,Turnall Holdings Limited,,,3.9475,3.9475,0.0
89,,,,,,,,
90,Unifreight Africa Limited,Unifreight Africa Limited,Unifreight Africa Limited,,,51.55,51.55,0.0
91,,,,,,,,
92,Willdale Limited,Willdale Limited,,,,1.6607,1.66,3800.0
93,,,,,,,,
